"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 27-Aug-2019","30 D % CHNG 
 27-Jul-2020"
"DLF","161.95","181.85","160.80","160.00","176.45","16.45","10.28",62460491,"10,792,548,239.89","266.55","114.55","-0.47","17.47"
"GODREJPROP","888.95","934.65","875.00","849.70","922.50","72.80","8.57",5304297,"4,841,815,344.57","1,189.25","505.00","-4.85","-2.50"
"CENTURYTEX","342.50","368.80","342.50","340.15","365.40","25.25","7.42",5749672,"2,064,017,254.56","987.55","218.60","-60.07","14.07"
"INDUSINDBK","572.40","606.00","572.00","567.65","606.00","38.35","6.76",24563543,"14,472,839,535.60","1,596.55","235.55","-59.05","12.04"
"BANDHANBNK","303.20","314.95","302.40","298.05","314.60","16.55","5.55",27756025,"8,575,223,923.75","650.00","152.20","-37.13","-9.75"
"TATAMOTORS","140.10","145.45","139.30","137.90","144.95","7.05","5.11",117398547,"16,687,029,470.58","201.70","63.50","14.58","35.59"
"APOLLOTYRE","133.30","139.00","132.80","132.00","138.70","6.70","5.08",16088677,"2,192,404,014.79","196.75","73.40","-23.26","23.71"
"PEL","1,464.00","1,505.00","1,440.00","1,433.00","1,493.00","60.00","4.19",2732149,"4,026,531,910.24","2,009.80","606.85","-26.51","-1.47"
"BATAINDIA","1,317.10","1,356.80","1,315.00","1,311.40","1,354.75","43.35","3.31",1327252,"1,782,340,165.76","1,895.45","1,000.00","-13.10","3.49"
"RBLBANK","203.80","207.30","197.80","200.40","206.80","6.40","3.19",31584590,"6,384,509,022.60","415.00","101.55","-43.83","12.08"
"M&M","619.15","637.60","615.60","613.35","632.90","19.55","3.19",4396402,"2,760,588,743.84","648.60","245.40","10.70","3.19"
"ASHOKLEY","71.45","73.60","71.20","71.05","73.25","2.20","3.10",31335820,"2,278,740,830.40","87.50","33.70","6.60","43.97"
"HDFC","1,832.00","1,883.00","1,830.00","1,816.00","1,871.00","55.00","3.03",5741332,"10,698,512,875.44","2,499.90","1,473.45","-16.48","-1.88"
"SBIN","210.50","215.90","210.50","209.85","215.75","5.90","2.81",49186252,"10,502,248,527.04","351.00","149.45","-26.55","12.13"
"GLENMARK","489.95","506.50","487.15","489.90","503.20","13.30","2.71",4059382,"2,033,872,163.46","573.05","161.65","30.69","15.15"
