"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 29-Nov-2019","30 D % CHNG 
 30-Oct-2020"
"DLF","192.00","197.50","189.60","187.20","196.30","9.10","4.86",6708672,"1,304,098,750.08","266.55","114.55","-14.79","18.26"
"ACC","1,738.00","1,785.00","1,705.90","1,705.05","1,766.15","61.10","3.58",1120913,"1,975,799,717.71","1,785.00","895.15","12.02","3.40"
"HAVELLS","798.10","830.70","798.10","801.40","828.45","27.05","3.38",874570,"718,817,828.70","855.00","447.05","20.07","10.10"
"GAIL","103.65","106.30","103.10","102.65","106.05","3.40","3.31",7206400,"758,329,472.00","133.35","65.00","-18.56","21.12"
"BANDHANBNK","371.00","379.70","367.00","367.00","378.45","11.45","3.12",2788240,"1,043,387,290.40","597.00","152.20","-36.85","26.79"
"ICICIGI","1,470.00","1,499.90","1,459.05","1,451.40","1,493.80","42.40","2.92",198659,"294,418,597.77","1,499.90","805.00","6.49","17.43"
"CANBK","104.95","107.70","103.85","103.80","106.80","3.00","2.89",3778101,"399,080,808.63","234.25","73.65","-54.30","20.42"
"TATAPOWER","65.60","66.80","65.00","64.90","66.55","1.65","2.54",12293921,"809,800,576.27","66.80","27.00","13.16","24.45"
"IBULHSGFIN","189.00","192.40","185.40","187.05","191.80","4.75","2.54",4227595,"801,044,700.60","376.70","81.00","-35.61","33.61"
"ULTRACEMCO","4,815.00","4,937.20","4,805.00","4,802.00","4,918.10","116.10","2.42",242275,"1,181,924,051.00","4,979.00","2,910.00","12.75","4.98"
"GRASIM","867.00","896.75","862.15","875.75","896.45","20.70","2.36",627900,"557,336,598.00","896.75","385.05","11.27","12.51"
"LICHSGFIN","325.75","337.40","325.70","329.00","336.60","7.60","2.31",2147569,"714,002,265.43","486.75","185.25","-29.11","16.27"
"SHREECEM","25,555.00","25,655.50","24,549.40","24,306.35","24,857.70","551.35","2.27",34677,"870,001,543.44","25,655.50","15,410.00","15.76","12.04"
"BANKBARODA","51.55","52.75","51.15","51.35","52.50","1.15","2.24",9329342,"484,192,849.80","108.25","36.00","-51.05","23.14"
"INFY","1,105.05","1,126.80","1,105.05","1,100.00","1,124.35","24.35","2.21",2143194,"2,397,141,057.06","1,186.00","509.25","57.97","3.71"
"GODREJPROP","1,183.95","1,195.65","1,164.10","1,165.45","1,190.30","24.85","2.13",307214,"364,220,629.84","1,195.65","505.00","28.24","12.66"
"FEDERALBNK","63.20","64.10","62.30","62.80","64.05","1.25","1.99",9733910,"613,723,025.50","96.95","35.70","-29.36","24.48"
"INDUSINDBK","863.00","877.00","858.10","857.65","874.25","16.60","1.94",2688693,"2,335,694,496.03","1,596.55","235.55","-45.34","46.43"
"PNB","33.90","34.25","33.30","33.45","34.10","0.65","1.94",11182117,"377,620,091.09","67.70","26.30","-49.01","25.05"
"INDIGO","1,530.00","1,547.00","1,515.50","1,514.15","1,541.30","27.15","1.79",262764,"402,593,862.60","1,743.85","771.30","4.84","15.63"
"ADANIPORTS","415.00","419.00","412.00","411.55","418.60","7.05","1.71",2018211,"838,829,037.93","419.00","203.00","7.72","14.37"
"AMBUJACEM","262.20","269.55","261.25","261.05","265.45","4.40","1.69",1873209,"499,247,662.68","272.00","136.55","27.56","0.52"
"JSWSTEEL","354.50","357.70","351.85","350.20","355.60","5.40","1.54",1350736,"479,119,566.56","362.20","132.50","33.89","13.33"
"APOLLOTYRE","184.50","188.00","184.45","184.45","187.25","2.80","1.52",1286746,"239,849,454.40","188.00","73.40","9.76","31.84"
"ICICIBANK","479.70","480.65","474.30","473.35","480.40","7.05","1.49",3728232,"1,780,976,426.40","552.20","268.30","-7.66","20.57"
"TATASTEEL","592.00","592.00","576.95","577.35","585.85","8.50","1.47",4331585,"2,531,118,378.90","592.00","250.85","35.05","40.63"
"PEL","1,405.85","1,420.00","1,390.25","1,388.10","1,408.10","20.00","1.44",232396,"327,239,131.56","1,821.57","606.85","-23.33","9.97"
"PAGEIND","23,130.00","23,184.00","22,900.25","22,754.95","23,080.00","325.05","1.43",6809,"156,714,718.38","26,882.60","16,254.00","3.20","13.37"
"GODREJCP","712.00","712.00","703.25","699.75","709.75","10.00","1.43",218550,"154,967,248.50","772.00","425.10","-3.48","5.26"
"ADANIENT","398.00","404.90","395.10","398.40","404.10","5.70","1.43",820819,"329,624,494.02","415.50","116.40","85.39","17.28"
"INFRATEL","223.00","225.20","220.75","218.60","221.70","3.10","1.42",2480620,"553,153,453.80","296.50","120.05","-20.88","17.81"
"JINDALSTEL","246.00","248.50","244.45","244.00","247.40","3.40","1.39",1341126,"331,097,186.88","252.25","62.00","51.55","27.42"
"MGL","1,063.90","1,084.50","1,049.05","1,063.90","1,078.15","14.25","1.34",736899,"789,086,187.18","1,246.20","663.90","1.94","30.56"
"BEL","111.10","112.80","110.60","111.10","112.45","1.35","1.22",1837419,"205,386,695.82","118.45","56.00","7.76","27.70"
"NATIONALUM","39.25","39.95","39.15","39.20","39.65","0.95","2.45",4469986,"176,743,246.44","48.75","24.40","-11.71","29.16"
"POWERGRID","194.85","195.80","192.00","192.40","194.60","2.20","1.14",1669120,"324,209,868.80","211.00","122.15","-0.47","12.51"
"SUNPHARMA","518.00","521.80","512.65","511.65","517.45","5.80","1.13",1738809,"901,555,078.41","564.75","312.00","13.74","9.86"
"BIOCON","436.95","436.95","429.55","429.35","434.15","4.80","1.12",669392,"290,388,943.52","478.00","235.55","52.44","6.38"
"MRF","79,400.00","79,400.00","77,777.50","77,738.65","78,610.00","871.35","1.12",12803,"1,008,739,535.93","81,249.40","49,915.10","22.62","19.04"
"BAJAJ-AUTO","3,175.10","3,238.90","3,173.55","3,173.55","3,208.45","34.90","1.10",294501,"947,283,081.57","3,315.15","1,788.65","-0.08","9.93"
"BHEL","33.30","33.40","32.85","32.85","33.20","0.35","1.07",9752600,"323,591,268.00","54.95","18.40","-38.37","17.32"
"HINDPETRO","210.00","211.75","208.80","209.35","211.55","2.20","1.05",698353,"147,045,207.68","293.45","150.00","-25.92","11.56"
"SAIL","48.60","49.50","48.40","48.45","48.95","0.50","1.03",6960277,"340,566,353.61","51.90","20.15","23.13","41.05"
"HDFC","2,237.00","2,279.80","2,217.65","2,256.25","2,279.00","22.75","1.01",1571532,"3,523,626,189.12","2,499.90","1,473.45","-1.78","17.30"
"TORNTPOWER","316.00","319.15","315.50","316.00","319.15","3.15","1.00",269201,"85,519,773.68","368.90","231.95","12.82","1.22"
"PETRONET","255.00","255.00","251.00","251.25","253.75","2.50","1.00",1205639,"304,785,539.20","283.25","170.40","-7.46","8.79"
"MCDOWELL-N","554.00","554.70","547.00","548.40","553.60","5.20","0.95",440512,"243,272,752.00","742.70","442.65","-9.54","8.74"
